svg,svg_id,label,status_text,status_color
corals.svg,biodiversity-icon,Biodiversity,,
corals.svg,cyano,Cyanobacteria,,
corals.svg,diadema,Black Sea Urchin (keystone),,
corals.svg,exploited-reef-fish,Exploited Reef Fish (focal),,
corals.svg,trophic-pyramid,Trophic Level Pyramid,,
corals.svg,forage-fish,Forage Fish (trophic group),,
corals.svg,anemone,Anemone,,
corals.svg,seagrass,Seagrass (foundation),,
corals.svg,rays,Rays (trophic group),,
corals.svg,sharks,Sharks (trophic group),,
corals.svg,sponge,Sponges,,
corals.svg,carib-spiny-lobster,Caribbean Spiny Lobster (focal),,
corals.svg,grouper-snapper-complex,Grouper-Snapper Complex (trophic group),,
corals.svg,stony-coral,Stony Corals (foundation),,
corals.svg,lionfish,Lionfish (invasive),,
corals.svg,soft-coral,Soft Corals (foundation),,
corals.svg,queen-conch,Queen Conch (focal),,
corals.svg,other-reef-fish,Other Reef Fish (trophic group),,
corals.svg,jacks,Jacks (trophic group),,
corals.svg,parrotfish,Parrotfish (trophic group),,
corals.svg,other-biota,Other ,,
mangroves.svg,anemone,Anemone,,
mangroves.svg,aquatic-crabs,,,
mangroves.svg,carib-spiny-lobster,Caribbean Spiny Lobster,,
mangroves.svg,grouper-snapper-complex,Grouper,,
mangroves.svg,mangroves,,,
mangroves.svg,seagrass,,,
mangroves.svg,small-mangrove-fish,,,
mangroves.svg,terrestrial-crabs,,,
pelagic.svg,forage-fish,Forage Fish,,
pelagic.svg,macroalgae,Macroalgae,,
pelagic.svg,mahi,,,
pelagic.svg,micro-organisms,,,
pelagic.svg,sailfish,,,
pelagic.svg,sea-turtle,Sea Turtle,,
seagrass.svg,anemone,Anemone,,
seagrass.svg,lionfish,,,
seagrass.svg,long-spinned-black-sea-urchin,,,
seagrass.svg,mangroves,,,
seagrass.svg,other corals,,,
seagrass.svg,queen-conch,Queen Conch,,
seagrass.svg,seagrass,,,
seagrass.svg,snapper,Snapper,,
seagrass.svg,tarpon,,,
