Year,richness,simpson,shannon
1996,32,6.602374602267074,10.421960153220047
1997,35,5.778143471511582,9.745534999194932
1998,33,5.574663368250886,9.084174216704078
1999,31,4.660644852165125,7.669834163341942
2000,33,5.04559111227018,8.17678721596477
2001,30,4.527959332796964,7.627101152466132
2002,31,4.940885510753453,8.044170722866253
2003,31,5.516420545669199,8.551458397517566
2004,32,6.181609961977305,9.493190702627968
2005,31,5.953617571224631,9.28321186507475
2006,31,5.471229253488501,8.656854648622536
2007,30,5.692849737791915,8.859596463248584
2008,33,5.858613998917879,9.172959045151373
2009,34,5.652828435041965,8.771937907844366
2010,32,7.488304668535681,10.710834340674213
2011,37,7.4610685514386725,10.585011208766367
2012,39,7.644552317078617,10.751634765280425
2013,36,7.312454383757143,10.492631471616907
2014,36,8.06031668971692,11.146549407844565
2015,35,7.612863038106784,10.538734976146735
