Year,Commercial_lbs,Recreational_lbs,Total
1991,6836063,1815790.86,8651853.86
1992,5369099,1352443.122,6721542.122
1993,5310544,1883114.182,7193658.182
1994,7217577,1905995.134,9123572.134
1995,7021047,1930717.882,8951764.882
1996,7745956,1922596.183,9668552.183
1997,7640291,2304186.477,9944477.477
1998,5447746,1302676.974,6750422.974
1999,7668264.75,2461980.706,10130245.46
2000,5569306.39,1949062.096,7518368.486
2001,3079120.73,1251080.521,4330201.251
2002,4572647.91,1455297.868,6027945.778
2003,4158697.8,1411508.581,5570206.381
2004,5451391.04,NA,NA
2005,2969120.94,1131013.864,4100134.804
2006,4824111.21,1304510.731,6128621.941
2007,3793067.57,1215068.279,5008135.849
2008,3284879.05,1263508.399,4548387.449
2009,4393969.58,1265575.797,5659545.377
2010,5969949.88,1416465.978,7386415.858
2011,5854173.48,1230408.07,7084581.55
2012,4064217,1558994.865,5623211.865
2013,6373005.48,1602653.814,7975659.294
2014,5436139.7,1621182.324,7057322.024
2015,6060409,1491487.165,7551896.165
