YEAR,biomass_mean,biomass_n,biomass_sd,biomass_se,biomass_min,biomass_max
1999,0,1,NaN,NaN,0,0
2000,0,1,NaN,NaN,0,0
2001,0,1,NaN,NaN,0,0
2002,0,1,NaN,NaN,0,0
2003,0,1,NaN,NaN,0,0
2004,0,1,NaN,NaN,0,0
2005,0,1,NaN,NaN,0,0
2006,0,1,NaN,NaN,0,0
2007,0,1,NaN,NaN,0,0
2008,0,1,NaN,NaN,0,0
2009,0,1,NaN,NaN,0,0
2010,0.001527102295804003,1,NaN,NaN,0.001527102295804003,0.001527102295804003
2011,0.013185372919903939,1,NaN,NaN,0.013185372919903939,0.013185372919903939
2012,0.013895113613750659,1,NaN,NaN,0.013895113613750659,0.013895113613750659
2014,0.015967591909531346,1,NaN,NaN,0.015967591909531346,0.015967591909531346
2016,0.021923924069773972,1,NaN,NaN,0.021923924069773972,0.021923924069773972
