YEAR,protected_status,richness,simpson,shannon
1999,0,8,2.1001193443344586,3.0267655457522022
2000,0,9,1.3061408758687358,1.7811645884184089
2001,0,12,2.472220209437646,3.4642316354280474
2002,0,12,1.9556141028087346,3.0542673006385574
2003,0,12,1.3704217947546937,1.7830690773660602
2004,0,8,3.0993588191581525,3.9277695773999692
2005,0,13,1.716183144779019,2.5730024338850574
2006,0,12,2.6096763528726887,3.4282269931121654
2007,0,10,1.5171264790553107,2.2712553559331385
2008,0,11,4.064177941839233,5.0544360953796845
2009,0,17,2.658643059273164,3.7036340829841645
2010,0,14,2.2734150075262587,3.3054018616426704
2011,0,15,3.127099497521543,4.150460977516229
2012,0,14,1.7965358641408935,2.95855329009403
2014,0,13,3.2233393214710033,3.885928812299253
2016,0,13,1.6134381380331597,2.4226562971287646
1999,1,8,1.5203843314653203,1.8831665581166717
2000,1,7,1.2812181676619812,1.6373971434985193
2001,1,10,1.4688612606204743,2.1434591579326385
2002,1,11,3.701131992564334,4.603459036932848
2003,1,9,2.1565770373651896,2.803770393214785
2004,1,8,2.3906557378511306,2.8030734551709595
2005,1,8,1.4937801997872722,2.0894624612234547
2006,1,7,1.648521418958742,2.163198730210679
2007,1,10,1.682099782473327,2.4820864462191885
2008,1,11,1.3751511468417368,1.9793326174031836
2009,1,13,2.5039756002551954,4.132112156401294
2010,1,9,1.208043546968172,1.5755889867453468
2011,1,10,1.3794596533147379,1.9827888453769018
2012,1,9,1.4604502689190766,2.0626847724192707
2014,1,11,1.666861059425311,2.3858148548295217
2016,1,10,2.1725748776491693,2.6062880771771386
1999,all,11,2.4627054944439286,3.296990031333022
2000,all,11,1.305307906592581,1.7825171045892108
2001,all,14,2.4010541003926087,3.4284418278658926
2002,all,13,2.0888813761651175,3.48663382747471
2003,all,14,1.4198637856908585,1.8561328468500788
2004,all,11,3.176953795032001,4.024417551335909
2005,all,14,1.7047732891203256,2.5685454919957174
2006,all,12,2.5359343072196032,3.3497608318961043
2007,all,13,1.5261627468961927,2.289215468378112
2008,all,15,3.876166443532579,4.9538464567989635
2009,all,17,2.7039773208595688,3.7790975135278497
2010,all,15,2.2292752987782665,3.2620109051344217
2011,all,15,3.0729694508076784,4.126134871466228
2012,all,15,1.7759992676064398,2.932092339005066
2014,all,14,3.181047234252818,3.9523780534869357
2016,all,14,1.8520643327787023,2.801567255895928
