YEAR,TL,biomass_mean,biomass_n,biomass_sd,biomass_se,biomass_min,biomass_max
1999,TL2,0.01825300879012787,84,0.04909856845255453,0.005357093010661952,0,0.21226094948611035
1999,TL3,0.017878424130102127,195,0.0636435762715694,0.0045576111605133965,0,0.49058828415350464
1999,TL4,0.020983637201916382,61,0.06662939995375171,0.008531020481879412,0,0.37752914040591623
2000,TL2,0.025268688033777752,84,0.06969396637856769,0.007604235152654614,0,0.35649726757043054
2000,TL3,0.02162175974787379,195,0.08657687716662806,0.006199898948690731,0,0.909181174030378
2000,TL4,0.03431712355213608,61,0.11618178444733968,0.014875553185673632,0,0.688373938501503
2001,TL2,0.04450887958292002,84,0.14727708169543727,0.016069247023846107,0,0.9150146907297253
2001,TL3,0.05193356227605483,195,0.22124251979447077,0.015843505919478418,0,2.076515717892661
2001,TL4,0.05760338451441338,61,0.16957282900979895,0.021711575947809127,0,0.9062736552204175
2002,TL2,0.03448083792296273,84,0.09647604744341959,0.010526399765705265,0,0.48070675731340895
2002,TL3,0.04260057587560943,195,0.14089977826991434,0.010090042696794374,0,0.9744877546508038
2002,TL4,0.16195240602641084,61,0.8372875462361484,0.10720368502674683,0,6.470233169315938
2003,TL2,0.031604229112434754,84,0.0892909332596744,0.009742439536564475,0,0.4648530946731588
2003,TL3,0.04128101018143214,195,0.14201325853206279,0.010169780674561757,0,1.0560709338652658
2003,TL4,0.0492174130845936,61,0.14504270875524666,0.01857081588603752,0,0.8458498279685709
2004,TL2,0.07113407085575058,84,0.2669346882632242,0.029124962251801553,0,1.8138567116130966
2004,TL3,0.05087655776679663,195,0.1794191926877691,0.01284847525718585,0,1.2395630200279493
2004,TL4,0.059760717370872074,61,0.16361278604536764,0.020948470642377336,0,0.8287919852625698
2005,TL2,0.03936442065220577,84,0.12501705811863786,0.013640479333079799,0,0.6895603616908349
2005,TL3,0.03655994550724262,195,0.1218166776537437,0.008723473477391287,0,0.8664735944265602
2005,TL4,0.04659655077625904,61,0.13242151663002077,0.01695483782528996,0,0.6469174052169547
2006,TL2,0.02663399130845437,84,0.09037565927577888,0.009860792847923681,0,0.6298241432637234
2006,TL3,0.03100091263842831,195,0.1228011873496601,0.008793975681079464,0,1.0698233349265036
2006,TL4,0.04461809191347027,61,0.12589059647085452,0.01611863918501946,0,0.66023616782567
2007,TL2,0.040266487513296714,84,0.11822247528498295,0.012899129567582867,0,0.6975669498458317
2007,TL3,0.045451189836637526,195,0.17538503275878056,0.012559583064245596,0,1.4624959265070172
2007,TL4,0.06631119130714068,61,0.16491582620460474,0.021115307838793316,0,0.6265961309843129
2008,TL2,0.037786590454392574,84,0.10591419425017765,0.011556186007659421,0,0.6106764439572416
2008,TL3,0.0420695493330715,195,0.1459800368010715,0.010453847566607109,0,1.4402642072128244
2008,TL4,0.04945604131515471,61,0.14408480621619169,0.01844816903365712,0,0.7818534765376058
2009,TL2,0.03220592417266862,84,0.08522783191474224,0.009299118834911416,0,0.410762700025803
2009,TL3,0.0348751965968066,195,0.13794513694980623,0.009878456437116281,0,1.5900858371496867
2009,TL4,0.040379880807690706,61,0.10654359210436232,0.013641509109885682,0,0.48414741022622765
2010,TL2,0.02404255059017694,84,0.06376333379573107,0.006957150087658894,0,0.2983441571464735
2010,TL3,0.030455298886487563,195,0.10926367227714895,0.00782453409098364,0,1.128502975218123
2010,TL4,0.038273419236105416,61,0.1081531372904899,0.01384759025362847,0,0.579612907336771
2011,TL2,0.03605288574403927,84,0.09863590852187214,0.01076205992957664,0,0.44149214375928203
2011,TL3,0.03890396530527097,195,0.13218182279089807,0.009465736937820662,0,1.3491732505919931
2011,TL4,0.04835462297118867,61,0.12975196994784757,0.016613037397269288,0,0.6056753994111317
2012,TL2,0.031798551395147485,84,0.08177388222459232,0.008922262027728528,0,0.3858307101267543
2012,TL3,0.0312586546952065,198,0.11144448321393217,0.007920014551697047,0,1.1268793012837464
2012,TL4,0.03670411128399756,61,0.1022216042997739,0.013088135276278154,0,0.570578713250146
2014,TL2,0.061342467166319206,55,0.1260666784568797,0.01699882745536521,5.243788699694419e-8,0.5282251227924063
2014,TL3,0.051101307295571316,146,0.14778521067069803,0.01223079105994112,2.9834597822570526e-8,1.213471290042824
2014,TL4,0.07129450121881413,38,0.16938195169061085,0.02747738091715306,5.795008052566841e-8,0.7845658828599531
2016,TL2,0.08140067584115873,54,0.188126522878554,0.025600777118693494,4.148753285751592e-8,1.004556949545872
2016,TL3,0.053282097914219256,147,0.14150421426580265,0.011671070885403948,0,1.0897413698436549
2016,TL4,0.06756907196668663,41,0.15476383976392297,0.02417005106025729,2.9539917988842914e-7,0.7230603433741528
